"skola","predmet","obor","typ","konali","neuspeli","volba","prumer","odchylka"
"Gymnázium a obchodní akademie Mariánské Lázně","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",16,0,"61.5","50.7","11.8"
"Gymnázium Cheb","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",9,0,"47.6","50.7","16.5"
"Střední odborná škola pedagogická. gymnázium a vyšší odborná škola Karlovy Vary","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",20,0,"95.7","46.0","16.5"
"První české gymnázium v Karlových Varech","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",21,1,"42.0","64.6","18.8"
"Gymnázium Ostrov","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",19,0,"76.9","68.1","12.8"
"Gymnázium Sokolov a Krajské vzdělávací centrum","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",34,0,"72.9","62.0","16.4"
"Gymnázium. základní škola a mateřská škola Mánesova s.r.o.","Anglický jazyk","Gymnázium 4 leté","Ústní zkouška",5,0,"83.3","79.2","6.9"
"Gymnázium a střední odborná škola Aš","Anglický jazyk","Gymnázium 8 leté","Ústní zkouška",10,0,"38.5","64.5","9.9"
"Gymnázium a obchodní akademie Mariánské Lázně","Anglický jazyk","Gymnázium 8 leté","Ústní zkouška",17,0,"70.8","64.3","11.8"
"Gymnázium Cheb","Anglický jazyk","Gymnázium 8 leté","Ústní zkouška",13,0,"31.9","69.1","12.7"
"Svobodná chebská škola. základní škola a gymnázium s.r.o.","Anglický jazyk","Gymnázium 8 leté","Ústní zkouška",7,0,"58.3","49.5","11.0"
"První české gymnázium v Karlových Varech","Anglický jazyk","Gymnázium 8 leté","Ústní zkouška",24,0,"48.0","76.2","10.6"
"Gymnázium Ostrov","Anglický jazyk","Gymnázium 8 leté","Ústní zkouška",40,0,"80.0","77.7","10.8"
"Gymnázium Sokolov a Krajské vzdělávací centrum","Anglický jazyk","Gymnázium 8 leté","Ústní zkouška",27,0,"60.9","79.3","5.6"
"Gymnázium a střední odborná škola Chodov","Anglický jazyk","Gymnázium 8 leté","Ústní zkouška",14,1,"72.7","58.1","19.7"
"Střední odborná škola pedagogická. gymnázium a vyšší odborná škola Karlovy Vary","Anglický jazyk","Lyceum","Ústní zkouška",33,0,"100.0","55.9","13.0"
"Hotelová škola Mariánské Lázně","Anglický jazyk","SOU ostatní (nástavby)","Ústní zkouška",5,0,"50.0","46.9","18.5"
"Střední odborné učiliště stravování a služeb Karlovy Vary","Anglický jazyk","SOU ostatní (nástavby)","Ústní zkouška",6,0,"69.2","49.6","17.6"
"Střední odborná škola stavební Karlovy Vary","Anglický jazyk","SOU ostatní (nástavby)","Ústní zkouška",1,0,"38.1","9.3",
"Integrovaná střední škola Cheb","Anglický jazyk","SOU ostatní (nástavby)","Ústní zkouška",4,0,"45.5","37.8","11.5"
"Střední škola živnostenská Sokolov. příspěvková organizace","Anglický jazyk","SOU ostatní (nástavby)","Ústní zkouška",9,2,"28.6","11.9","15.6"
"Gymnázium a obchodní akademie Mariánské Lázně","Anglický jazyk","SOŠ ekonomické","Ústní zkouška",12,0,"70.6","46.2","18.0"
"Obchodní akademie. vyšší odborná škola cestovního ruchu a jazyková škola s právem státní jazykové zkoušky Karlovy Vary","Anglický jazyk","SOŠ ekonomické","Ústní zkouška",16,0,"64.0","67.4","9.0"
"Soukromá obchodní akademie Podnikatel. spol. s r.o.","Anglický jazyk","SOŠ ekonomické","Ústní zkouška",9,0,"85.0","47.6","12.9"
"Soukromá obchodní akademie Sokolov. s.r.o.","Anglický jazyk","SOŠ ekonomické","Ústní zkouška",6,0,"86.4","36.8","19.8"
"Hotelová škola Mariánské Lázně","Anglický jazyk","SOŠ hotelové a podnikatelské","Ústní zkouška",36,0,"100.0","38.8","17.7"
"Obchodní akademie. vyšší odborná škola cestovního ruchu a jazyková škola s právem státní jazykové zkoušky Karlovy Vary","Anglický jazyk","SOŠ hotelové a podnikatelské","Ústní zkouška",22,0,"81.5","49.6","14.1"
"Integrovaná střední škola Cheb","Anglický jazyk","SOŠ hotelové a podnikatelské","Ústní zkouška",5,0,"70.0","37.8","16.9"
"Integrovaná střední škola technická a ekonomická Sokolov","Anglický jazyk","SOŠ hotelové a podnikatelské","Ústní zkouška",17,0,"79.2","54.2","15.9"
"Střední odborná škola pedagogická. gymnázium a vyšší odborná škola Karlovy Vary","Anglický jazyk","SOŠ pedagogické a humanitní","Ústní zkouška",39,1,"77.6","45.0","17.9"
"Střední odborná škola a střední odborné učiliště Nejdek","Anglický jazyk","SOŠ pedagogické a humanitní","Ústní zkouška",8,0,"66.7","53.3","20.0"
"Integrovaná střední škola technická a ekonomická Sokolov","Anglický jazyk","SOŠ pedagogické a humanitní","Ústní zkouška",7,0,"70.0","38.3","16.4"
"TRIVIS - Střední škola veřejnoprávní Karlovy Vary. s.r.o.","Anglický jazyk","SOŠ pedagogické a humanitní","Ústní zkouška",27,4,"82.1","39.4","25.9"
"Střední škola živnostenská Sokolov. příspěvková organizace","Anglický jazyk","SOŠ pedagogické a humanitní","Ústní zkouška",7,0,"90.0","33.3","17.9"
"Střední průmyslová škola Ostrov","Anglický jazyk","SOŠ technické 1","Ústní zkouška",23,0,"39.4","61.5","13.1"
"Střední průmyslová škola keramická a sklářská Karlovy Vary","Anglický jazyk","SOŠ technické 1","Ústní zkouška",5,0,"100.0","49.9","25.2"
"Střední průmyslová škola Loket","Anglický jazyk","SOŠ technické 1","Ústní zkouška",36,5,"90.7","35.8","23.3"
"Integrovaná střední škola Cheb","Anglický jazyk","SOŠ technické 1","Ústní zkouška",9,0,"64.3","38.9","18.4"
"Integrovaná střední škola technická a ekonomická Sokolov","Anglický jazyk","SOŠ technické 1","Ústní zkouška",10,0,"63.2","41.9","16.7"
"Střední odborná škola logistická a střední odborné učiliště Dalovice","Anglický jazyk","SOŠ technické 2","Ústní zkouška",27,1,"82.5","50.2","21.0"
"Střední průmyslová škola keramická a sklářská Karlovy Vary","Anglický jazyk","SOŠ umělecké","Ústní zkouška",39,6,"100.0","42.4","21.6"
"Střední zdravotnická škola a vyšší odborná škola Cheb","Anglický jazyk","SOŠ zdravotnické","Ústní zkouška",6,0,"35.0","60.0","12.3"
"Střední zdravotnická škola a vyšší odborná škola zdravotnická Karlovy Vary","Anglický jazyk","SOŠ zdravotnické","Ústní zkouška",35,3,"65.2","32.7","19.8"
"Střední zemědělská škola Dalovice","Anglický jazyk","SOŠ zemědělské","Ústní zkouška",9,4,"47.8","20.7","28.7"
"Střední lesnická škola Žlutice","Anglický jazyk","SOŠ zemědělské","Ústní zkouška",6,0,"56.3","39.2","21.3"
"Střední odborné učiliště stravování a služeb Karlovy Vary","Anglický jazyk","SOU ostatní","Ústní zkouška",5,0,"35.0","56.0","19.7"
"Střední zdravotnická škola a vyšší odborná škola Cheb","Anglický jazyk","SOU ostatní","Ústní zkouška",4,0,"54.5","65.4","15.9"
"Střední zdravotnická škola a vyšší odborná škola zdravotnická Karlovy Vary","Anglický jazyk","SOU ostatní","Ústní zkouška",11,0,"60.9","45.0","14.5"
"Střední škola živnostenská Sokolov. příspěvková organizace","Anglický jazyk","SOU ostatní","Ústní zkouška",7,2,"60.0","19.4","29.7"
"Střední průmyslová škola Ostrov","Anglický jazyk","SOU technické","Ústní zkouška",15,0,"58.1","36.2","14.5"
"Střední odborná škola Karlovy Vary. s.r.o.","Anglický jazyk","SOU technické","Ústní zkouška",7,1,"77.8","36.0","23.1"
"Gymnázium a obchodní akademie Mariánské Lázně","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",26,0,,"66.1","13.6"
"Gymnázium Cheb","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",19,0,,"81.0","8.3"
"Střední odborná škola pedagogická. gymnázium a vyšší odborná škola Karlovy Vary","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",21,0,,"57.2","9.8"
"První české gymnázium v Karlových Varech","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",48,1,,"66.0","14.0"
"Gymnázium Ostrov","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",25,0,,"75.1","14.3"
"Gymnázium Sokolov a Krajské vzdělávací centrum","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",47,0,,"76.4","12.4"
"Gymnázium. základní škola a mateřská škola Mánesova s.r.o.","Český jazyk a literatura","Gymnázium 4 leté","Didaktický test",6,1,,"51.9","19.6"
"Gymnázium a střední odborná škola Aš","Český jazyk a literatura","Gymnázium 8 leté","Didaktický test",26,0,,"66.8","14.0"
"Gymnázium a obchodní akademie Mariánské Lázně","Český jazyk a literatura","Gymnázium 8 leté","Didaktický test",24,0,,"72.0","14.6"
"Gymnázium Cheb","Český jazyk a literatura","Gymnázium 8 leté","Didaktický test",44,0,,"80.1","11.3"
"Svobodná chebská škola. základní škola a gymnázium s.r.o.","Český jazyk a literatura","Gymnázium 8 leté","Didaktický test",12,0,,"68.5","10.3"
"První české gymnázium v Karlových Varech","Český jazyk a literatura","Gymnázium 8 leté","Didaktický test",50,0,,"81.1","11.8"
"Gymnázium Ostrov","Český jazyk a literatura","Gymnázium 8 leté","Didaktický test",50,0,,"81.0","12.0"
"Gymnázium Sokolov a Krajské vzdělávací centrum","Český jazyk a literatura","Gymnázium 8 leté","Didaktický test",45,0,,"80.3","11.7"
"Gymnázium a střední odborná škola Chodov","Český jazyk a literatura","Gymnázium 8 leté","Didaktický test",19,0,,"69.1","9.3"
"Střední průmyslová škola Ostrov","Český jazyk a literatura","Lyceum","Didaktický test",15,0,,"55.7","9.4"
"Střední odborná škola pedagogická. gymnázium a vyšší odborná škola Karlovy Vary","Český jazyk a literatura","Lyceum","Didaktický test",33,1,,"56.7","11.2"
"Hotelová škola Mariánské Lázně","Český jazyk a literatura","SOU ostatní (nástavby)","Didaktický test",8,4,,"24.1","7.2"
"Střední odborné učiliště stravování a služeb Karlovy Vary","Český jazyk a literatura","SOU ostatní (nástavby)","Didaktický test",9,1,,"38.6","8.8"
"Střední odborná škola stavební Karlovy Vary","Český jazyk a literatura","SOU ostatní (nástavby)","Didaktický test",6,2,,"31.7","12.9"
"Integrovaná střední škola Cheb","Český jazyk a literatura","SOU ostatní (nástavby)","Didaktický test",9,4,,"28.8","12.2"
"Střední škola živnostenská Sokolov. příspěvková organizace","Český jazyk a literatura","SOU ostatní (nástavby)","Didaktický test",25,9,,"25.9","9.8"
"Gymnázium a obchodní akademie Mariánské Lázně","Český jazyk a literatura","SOŠ ekonomické","Didaktický test",17,3,,"59.4","15.6"
"Obchodní akademie. vyšší odborná škola cestovního ruchu a jazyková škola s právem státní jazykové zkoušky Karlovy Vary","Český jazyk a literatura","SOŠ ekonomické","Didaktický test",25,2,,"55.0","14.4"
"Soukromá obchodní akademie Podnikatel. spol. s r.o.","Český jazyk a literatura","SOŠ ekonomické","Didaktický test",12,4,,"36.6","14.6"
"Soukromá obchodní akademie Sokolov. s.r.o.","Český jazyk a literatura","SOŠ ekonomické","Didaktický test",8,1,,"55.5","12.5"
"Hotelová škola Mariánské Lázně","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Didaktický test",37,6,,"46.8","12.1"
"Obchodní akademie. vyšší odborná škola cestovního ruchu a jazyková škola s právem státní jazykové zkoušky Karlovy Vary","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Didaktický test",27,0,,"58.6","10.9"
"Integrovaná střední škola Cheb","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Didaktický test",6,1,,"46.4","13.0"
"Integrovaná střední škola technická a ekonomická Sokolov","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Didaktický test",22,5,,"36.1","11.0"
