"skola","predmet","obor","kraj","typ","konali","neuspeli","volba","prumer","odchylka"
"Gymnázium. Střední  pedagogická škola. Obchodní akademie a Jazyková škola s právem státní jazykové zkoušky Znojmo. příspěvková organizace","Český jazyk a literatura","SOŠ technické 1","Jihomoravský","Ústní zkouška",175,2,,"57.5",18
"ŠKODA AUTO a.s.. Střední odborné učiliště strojírenské. odštěpný závod","Český jazyk a literatura","SOU technické (nástavby)","Středočeský","Ústní zkouška",117,1,,"53.7","16.9"
"ŠKODA AUTO a.s.. Střední odborné učiliště strojírenské. odštěpný závod","Český jazyk a literatura","SOŠ technické 2","Středočeský","Ústní zkouška",117,1,,"53.7","16.9"
"ŠKODA AUTO a.s.. Střední odborné učiliště strojírenské. odštěpný závod","Český jazyk a literatura","SOU technické","Středočeský","Ústní zkouška",117,1,,"53.7","16.9"
"Vyšší odborná škola a Střední průmyslová škola. Šumperk. Gen. Krátkého 1","Český jazyk a literatura","Lyceum","Olomoucký","Ústní zkouška",155,1,,"54.7",17
"Vyšší odborná škola a Střední průmyslová škola. Šumperk. Gen. Krátkého 1","Český jazyk a literatura","SOŠ technické 1","Olomoucký","Ústní zkouška",155,1,,"54.7",17
"Vyšší odborná škola a Střední průmyslová škola. Šumperk. Gen. Krátkého 1","Český jazyk a literatura","SOŠ umělecké","Olomoucký","Ústní zkouška",155,1,,"54.7",17
"Gymnázium a Střední odborná škola pedagogická. Nová Paka. Kumburská 740","Český jazyk a literatura","Gymnázium 4 leté","Královéhradecký","Ústní zkouška",80,0,,"55.3",14
"Gymnázium. Pardubice. Mozartova 449","Český jazyk a literatura","Gymnázium 4 leté","Pardubický","Ústní zkouška",86,0,,"53.2","13.8"
"Gymnázium. Vrchlabí. Komenského 586","Český jazyk a literatura","Gymnázium 4 leté","Královéhradecký","Ústní zkouška",42,0,,"56.7","15.5"
"Gymnázium. základní škola a mateřská škola Mánesova s.r.o.","Český jazyk a literatura","Gymnázium 4 leté","Karlovarský","Ústní zkouška",6,0,,58,"7.7"
"Gymnázium J. Seiferta o.p.s.","Český jazyk a literatura","Gymnázium 8 leté","Praha","Ústní zkouška",18,0,,"52.3","16.5"
"Gymnázium a Střední odborná škola pedagogická. Nová Paka. Kumburská 740","Český jazyk a literatura","Gymnázium 8 leté","Královéhradecký","Ústní zkouška",80,0,,"55.3",14
"Gymnázium. Vrchlabí. Komenského 586","Český jazyk a literatura","Gymnázium 8 leté","Královéhradecký","Ústní zkouška",42,0,,"56.7","15.5"
"Masarykovo klasické gymnázium. s.r.o.","Český jazyk a literatura","Gymnázium 8 leté","Středočeský","Ústní zkouška",21,0,,"53.2","15.3"
"Obchodní akademie. Vlašim. V Sadě 1565","Český jazyk a literatura","Lyceum","Středočeský","Ústní zkouška",43,0,,"53.8","12.2"
"Vyšší odborná škola a Střední průmyslová škola Žďár nad Sázavou","Český jazyk a literatura","Lyceum","Vysočina","Ústní zkouška",145,0,,"52.9","14.8"
"Střední škola Kostka s.r.o.","Český jazyk a literatura","Lyceum","Zlínský","Ústní zkouška",83,0,,"54.3","14.6"
"Střední odborné učiliště a Střední odborná škola. SČMSD. Žatec. s.r.o.","Český jazyk a literatura","SOU ostatní (nástavby)","Ústecký","Ústní zkouška",13,0,,"45.4","21.9"
"EDUCA - Střední odborná škola. s.r.o.","Český jazyk a literatura","SOU ostatní (nástavby)","Moravskoslezský","Ústní zkouška",39,0,,"54.4","14.2"
"Střední škola automobilní Holice","Český jazyk a literatura","SOU technické (nástavby)","Pardubický","Ústní zkouška",44,0,,"54.4","18.3"
"Obchodní akademie. Vlašim. V Sadě 1565","Český jazyk a literatura","SOŠ ekonomické","Středočeský","Ústní zkouška",43,0,,"53.8","12.2"
"Obchodní akademie Holešovice","Český jazyk a literatura","SOŠ ekonomické","Praha","Ústní zkouška",28,0,,"47.8","15.5"
"Střední odborné učiliště a Střední odborná škola. SČMSD. Žatec. s.r.o.","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Ústecký","Ústní zkouška",13,0,,"45.4","21.9"
"Vyšší odborná škola a Střední průmyslová škola Žďár nad Sázavou","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Vysočina","Ústní zkouška",145,0,,"52.9","14.8"
"EDUCA - Střední odborná škola. s.r.o.","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Moravskoslezský","Ústní zkouška",39,0,,"54.4","14.2"
"Střední škola Kostka s.r.o.","Český jazyk a literatura","SOŠ hotelové a podnikatelské","Zlínský","Ústní zkouška",83,0,,"54.3","14.6"
"Gymnázium a Střední odborná škola pedagogická. Nová Paka. Kumburská 740","Český jazyk a literatura","SOŠ pedagogické a humanitní","Královéhradecký","Ústní zkouška",80,0,,"55.3",14
"Střední škola Kostka s.r.o.","Český jazyk a literatura","SOŠ pedagogické a humanitní","Zlínský","Ústní zkouška",83,0,,"54.3","14.6"
"Vyšší odborná škola stavební a Střední průmyslová škola stavební. Praha 1. Dušní 17","Český jazyk a literatura","SOŠ technické 1","Praha","Ústní zkouška",34,0,,"57.4","13.3"
"Vyšší odborná škola a Střední průmyslová škola Žďár nad Sázavou","Český jazyk a literatura","SOŠ technické 1","Vysočina","Ústní zkouška",145,0,,"52.9","14.8"
"Střední průmyslová škola elektrotechnická. Havířov. příspěvková organizace","Český jazyk a literatura","SOŠ technické 1","Moravskoslezský","Ústní zkouška",67,0,,"54.8",14
"Střední odborná škola NET OFFICE Orlová. spol. s r. o.","Český jazyk a literatura","SOŠ technické 1","Moravskoslezský","Ústní zkouška",25,0,,"52.6","15.7"
"EDUCA - Střední odborná škola. s.r.o.","Český jazyk a literatura","SOŠ technické 1","Moravskoslezský","Ústní zkouška",39,0,,"54.4","14.2"
"Střední škola automobilní Holice","Český jazyk a literatura","SOŠ technické 1","Pardubický","Ústní zkouška",44,0,,"54.4","18.3"
"Taneční konzervatoř hlavního města Prahy","Český jazyk a literatura","SOŠ umělecké","Praha","Ústní zkouška",13,0,,"60.1","16.5"
"Střední škola vizuální tvorby. s.r.o.","Český jazyk a literatura","SOŠ umělecké","Královéhradecký","Ústní zkouška",37,0,,"53.8","15.4"
"Konzervatoř. Pardubice. Sukova třída 1260","Český jazyk a literatura","SOŠ umělecké","Pardubický","Ústní zkouška",18,0,,"50.4","15.2"
"Konzervatoř P. J. Vejvanovského Kroměříž","Český jazyk a literatura","SOŠ umělecké","Zlínský","Ústní zkouška",21,0,,"51.4","12.8"
"AVE ART Ostrava. soukromá Střední umělecká škola a Základní umělecká škola. s.r.o.","Český jazyk a literatura","SOŠ umělecké","Moravskoslezský","Ústní zkouška",23,0,,"58.1","18.4"
"Střední odborné učiliště a Střední odborná škola. SČMSD. Žatec. s.r.o.","Český jazyk a literatura","SOU ostatní","Ústecký","Ústní zkouška",13,0,,"45.4","21.9"
"Vyšší odborná škola a Střední průmyslová škola Žďár nad Sázavou","Český jazyk a literatura","SOU technické","Vysočina","Ústní zkouška",145,0,,"52.9","14.8"
"Střední škola automobilní Holice","Český jazyk a literatura","SOU technické","Pardubický","Ústní zkouška",44,0,,"54.4","18.3"
"Střední škola EDUCHEM. a.s.  Meziboří","Anglický jazyk","SOŠ technické 1","Ústecký","Didaktický test",3,1,45,"38.3","33.2"
"Soukromá střední průmyslová škola Břeclav. spol. s r.o. CULTUS","Anglický jazyk","SOŠ umělecké","Jihomoravský","Didaktický test",6,1,60,"63.3","20.5"
"Konzervatoř. Teplice. Českobratrská 15. příspěvková organizace","Anglický jazyk","SOŠ umělecké","Ústecký","Didaktický test",9,1,100,"64.8","15.3"
"Střední škola spojů a informatiky. Tábor. Bydlinského 2474","Anglický jazyk","SOŠ technické 1","Jihočeský","Didaktický test",33,2,"72.5","57.1","14.7"
"Střední škola spojů a informatiky. Tábor. Bydlinského 2474","Anglický jazyk","SOU technické","Jihočeský","Didaktický test",33,2,"72.5","57.1","14.7"
"Střední odborná škola sociální svaté Zdislavy","Anglický jazyk","SOŠ pedagogické a humanitní","Praha","Didaktický test",19,1,100,"56.8","19.1"
"Střední odborná škola a Gymnázium Staré Město","Anglický jazyk","SOŠ hotelové a podnikatelské","Zlínský","Didaktický test",83,3,"65.5","57.5",16
"Střední odborná škola a Gymnázium Staré Město","Anglický jazyk","SOŠ technické 1","Zlínský","Didaktický test",83,3,"65.5","57.5",16
"Střední odborná škola a Gymnázium Staré Město","Anglický jazyk","SOŠ zemědělské","Zlínský","Didaktický test",83,3,"65.5","57.5",16
"Střední odborná škola a Gymnázium Staré Město","Anglický jazyk","SOU technické","Zlínský","Didaktický test",83,3,"65.5","57.5",16
"Střední odborná škola a Gymnázium Staré Město","Anglický jazyk","Gymnázium 4 leté","Zlínský","Didaktický test",83,3,"65.5","57.5",16
"Hotelová škola. Vyšší odborná škola hotelnictví a turismu a Jazyková škola s právem státní jazykové zkoušky. Poděbrady. Komenského 156/III","Anglický jazyk","SOŠ hotelové a podnikatelské","Středočeský","Didaktický test",75,2,"95.3",65,"13.8"
"Střední průmyslová škola a Vyšší odborná škola.  Kladno.  Jana Palacha č. 1840","Anglický jazyk","SOŠ technické 1","Středočeský","Didaktický test",46,1,"75.7","60.7","13.6"
"Obchodní akademie. Vlašim. V Sadě 1565","Anglický jazyk","Lyceum","Středočeský","Didaktický test",39,0,"91.3","61.8",12
"Obchodní akademie. Plzeň. nám. T. G. Masaryka 13","Anglický jazyk","Lyceum","Plzeňský","Didaktický test",126,0,"87.8","66.1","11.9"
"Obchodní akademie a Vyšší odborná škola ekonomická. Tábor. Jiráskova 1615","Anglický jazyk","Lyceum","Jihočeský","Didaktický test",53,0,"80.6","64.6","11.9"
"Střední průmyslová škola elektrotechnická a Vyšší odborná škola Pardubice","Anglický jazyk","SOU technické (nástavby)","Pardubický","Didaktický test",64,0,"47.3","70.7","10.5"
"Obchodní akademie. Vlašim. V Sadě 1565","Anglický jazyk","SOŠ ekonomické","Středočeský","Didaktický test",39,0,"91.3","61.8",12
"Obchodní akademie. Plzeň. nám. T. G. Masaryka 13","Anglický jazyk","SOŠ ekonomické","Plzeňský","Didaktický test",126,0,"87.8","66.1","11.9"
"Masarykova obchodní akademie. Jičín. 17. listopadu 220","Anglický jazyk","SOŠ ekonomické","Královéhradecký","Didaktický test",54,0,"91.8","64.3","12.1"
"Obchodní akademie a Vyšší odborná škola ekonomická. Tábor. Jiráskova 1615","Anglický jazyk","SOŠ ekonomické","Jihočeský","Didaktický test",53,0,"80.6","64.6","11.9"
"Střední škola hotelnictví a gastronomie SČMSD Praha. s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Praha","Didaktický test",29,0,"84.4","59.1","14.6"
"Masarykova obchodní akademie. Jičín. 17. listopadu 220","Anglický jazyk","SOŠ technické 1","Královéhradecký","Didaktický test",54,0,"91.8","64.3","12.1"
"EDUCAnet - Střední odborná škola a gymnázium Brno. o.p.s.","Anglický jazyk","SOŠ technické 1","Jihomoravský","Didaktický test",13,0,"77.8","65.8","14.9"
"Střední škola elektrotechnická. Lipník nad Bečvou. Tyršova 781","Anglický jazyk","SOŠ technické 1","Olomoucký","Didaktický test",12,0,100,"62.7","12.1"
"Střední průmyslová škola elektrotechnická a Vyšší odborná škola Pardubice","Anglický jazyk","SOŠ technické 1","Pardubický","Didaktický test",64,0,"47.3","70.7","10.5"
"Střední škola hotelnictví a gastronomie SČMSD Praha. s.r.o.","Anglický jazyk","SOU ostatní","Praha","Didaktický test",29,0,"84.4","59.1","14.6"
"Integrovaná střední škola. Nová Paka. Kumburská 846","Anglický jazyk","SOU technické","Královéhradecký","Didaktický test",5,0,55,"59.4","2.7"
"Střední průmyslová škola elektrotechnická a Vyšší odborná škola Pardubice","Anglický jazyk","SOU technické","Pardubický","Didaktický test",64,0,"47.3","70.7","10.5"
"Gymnázium. Pardubice. Mozartova 449","Ruský jazyk","Gymnázium 4 leté","Pardubický","Didaktický test",4,0,"4.6","59.9","17.9"
"Stojanovo gymnázium. Velehrad","Německý jazyk","Gymnázium 4 leté","Zlínský","Didaktický test",5,0,"8.6","76.3","6.4"
"Arcibiskupské gymnázium v Kroměříži","Německý jazyk","Gymnázium 4 leté","Zlínský","Didaktický test",6,0,"6.7",73,"13.7"
"Gymnázium a obchodní akademie Mariánské Lázně","Německý jazyk","Gymnázium 4 leté","Karlovarský","Didaktický test",11,0,"16.4","74.3","17.3"
"Gymnázium. Olomouc. Čajkovského 9","Německý jazyk","Gymnázium 4 leté","Olomoucký","Didaktický test",14,0,12,"75.9","8.8"
"Soukromá střední škola a základní škola (1. KŠPA) Praha s.r.o.","Německý jazyk","SOU ostatní (nástavby)","Praha","Didaktický test",5,0,"6.3","77.7","10.4"
"Střední škola - Podorlické vzdělávací centrum. Dobruška","Německý jazyk","SOU ostatní (nástavby)","Královéhradecký","Didaktický test",4,0,"4.5","76.3","2.7"
"Gymnázium a obchodní akademie Mariánské Lázně","Německý jazyk","SOŠ ekonomické","Karlovarský","Didaktický test",11,0,"16.4","74.3","17.3"
"Střední škola dostihového sportu a jezdectví","Německý jazyk","SOU ostatní (nástavby)","Praha","Ústní zkouška",5,1,"31.8","49.2","25.2"
"Obchodní akademie. Náchod. Denisovo nábřeží 673","Anglický jazyk","SOŠ ekonomické","Královéhradecký","Ústní zkouška",37,3,"60.7","48.7","21.6"
"Obchodní akademie. Náchod. Denisovo nábřeží 673","Anglický jazyk","SOŠ technické 1","Královéhradecký","Ústní zkouška",37,3,"60.7","48.7","21.6"
"MICHAEL – Střední škola a Vyšší odborná škola reklamní a umělecké tvorby. s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Praha","Ústní zkouška",62,5,"98.7","46.6","22.7"
"MICHAEL – Střední škola a Vyšší odborná škola reklamní a umělecké tvorby. s.r.o.","Anglický jazyk","SOŠ umělecké","Praha","Ústní zkouška",62,5,"98.7","46.6","22.7"
"Střední odborná škola cestovního ruchu. s.r.o. Pardubice. U Josefa 118","Anglický jazyk","SOŠ hotelové a podnikatelské","Pardubický","Ústní zkouška",53,4,88,50,21
"Střední odborná škola cestovního ruchu. s.r.o. Pardubice. U Josefa 118","Anglický jazyk","SOŠ umělecké","Pardubický","Ústní zkouška",53,4,88,50,21
"Střední průmyslová škola na Proseku","Anglický jazyk","SOŠ technické 1","Praha","Ústní zkouška",73,5,"76.6","50.6","22.7"
"Klvaňovo gymnázium a Střední zdravotnická škola Kyjov. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Ústní zkouška",103,6,"66.9","48.9","20.5"
"Klvaňovo gymnázium a Střední zdravotnická škola Kyjov. příspěvková organizace","Anglický jazyk","SOŠ pedagogické a humanitní","Jihomoravský","Ústní zkouška",103,6,"66.9","48.9","20.5"
"Klvaňovo gymnázium a Střední zdravotnická škola Kyjov. příspěvková organizace","Anglický jazyk","SOŠ zdravotnické","Jihomoravský","Ústní zkouška",103,6,"66.9","48.9","20.5"
"Klvaňovo gymnázium a Střední zdravotnická škola Kyjov. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Jihomoravský","Ústní zkouška",103,6,"66.9","48.9","20.5"
"Střední odborná škola služeb s.r.o.","Anglický jazyk","SOŠ hotelové a podnikatelské","Olomoucký","Ústní zkouška",18,1,"94.7","61.5","12.4"
"Gymnázium. Praha 10. Přípotoční 1337","Anglický jazyk","Gymnázium 4 leté","Praha","Ústní zkouška",55,3,"53.3","51.4","18.3"
"Obchodní akademie. Prostějov. Palackého 18","Anglický jazyk","SOŠ ekonomické","Olomoucký","Ústní zkouška",45,2,78,"52.7","17.8"
"Střední odborná škola logistická a střední odborné učiliště Dalovice","Anglický jazyk","SOŠ technické 2","Karlovarský","Ústní zkouška",27,1,"82.5","50.2",21
"Gymnázium K. V. Raise. Hlinsko. Adámkova 55","Anglický jazyk","Gymnázium 8 leté","Pardubický","Ústní zkouška",29,1,63,"49.3","16.3"
"Gymnázium K. V. Raise. Hlinsko. Adámkova 55","Anglický jazyk","Gymnázium 4 leté","Pardubický","Ústní zkouška",29,1,63,"49.3","16.3"
"Gymnázium a Jazyková škola s právem státní jazykové zkoušky Zlín","Anglický jazyk","Gymnázium 8 leté","Zlínský","Ústní zkouška",119,4,"87.5","55.3",18
"Gymnázium a Jazyková škola s právem státní jazykové zkoušky Zlín","Anglický jazyk","Gymnázium 4 leté","Zlínský","Ústní zkouška",119,4,"87.5","55.3",18
"Sportovní gymnázium Dany a Emila Zátopkových. Ostrava. příspěvková organizace","Anglický jazyk","Gymnázium 8 leté","Moravskoslezský","Ústní zkouška",63,2,"89.2","51.5","18.5"
"Sportovní gymnázium Dany a Emila Zátopkových. Ostrava. příspěvková organizace","Anglický jazyk","Gymnázium 4 leté","Moravskoslezský","Ústní zkouška",63,2,"89.2","51.5","18.5"
"Církevní gymnázium Německého řádu. spol. s r.o.","Anglický jazyk","Gymnázium 4 leté","Olomoucký","Ústní zkouška",32,1,"79.1","48.1","16.6"
"Vyšší odborná škola zdravotnická a Střední zdravotnická škola. Trutnov. Procházkova 303","Anglický jazyk","Lyceum","Královéhradecký","Ústní zkouška",35,1,"97.4","52.4",16
"Vyšší odborná škola zdravotnická a Střední zdravotnická škola. Trutnov. Procházkova 303","Anglický jazyk","SOŠ zdravotnické","Královéhradecký","Ústní zkouška",35,1,"97.4","52.4",16
"Střední průmyslová škola Ostrov","Anglický jazyk","SOŠ technické 1","Karlovarský","Ústní zkouška",39,1,"40.2","50.3","17.1"
"Střední průmyslová škola Ostrov","Anglický jazyk","SOU technické","Karlovarský","Ústní zkouška",39,1,"40.2","50.3","17.1"
"Českoslovanská akademie obchodní. střední odborná škola. Praha 2. Resslova 5","Anglický jazyk","SOU ostatní (nástavby)","Praha","Ústní zkouška",80,2,"93.8","52.5","18.2"
"Českoslovanská akademie obchodní. střední odborná škola. Praha 2. Resslova 5","Anglický jazyk","SOŠ ekonomické","Praha","Ústní zkouška",80,2,"93.8","52.5","18.2"
"Soukromá střední škola pro marketing a ekonomiku podnikání s.r.o.","Anglický jazyk","SOŠ ekonomické","Ústecký","Ústní zkouška",44,1,"85.7","49.6","19.5"
"Gymnázium Evolution Jižní Město s.r.o.","Anglický jazyk","Gymnázium 6 leté","Praha","Ústní zkouška",47,1,"82.8","58.1","14.5"
"Gymnázium Evolution Jižní Město s.r.o.","Anglický jazyk","Gymnázium 4 leté","Praha","Ústní zkouška",47,1,"82.8","58.1","14.5"
"Obchodní akademie a Střední odborná škola logistická. Opava. příspěvková organizace","Anglický jazyk","Lyceum","Moravskoslezský","Ústní zkouška",100,2,"93.5","52.4","17.1"
"Obchodní akademie a Střední odborná škola logistická. Opava. příspěvková organizace","Anglický jazyk","SOŠ ekonomické","Moravskoslezský","Ústní zkouška",100,2,"93.5","52.4","17.1"
"Obchodní akademie a Střední odborná škola logistická. Opava. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Moravskoslezský","Ústní zkouška",100,2,"93.5","52.4","17.1"
"Obchodní akademie a Střední odborná škola logistická. Opava. příspěvková organizace","Anglický jazyk","SOŠ technické 2","Moravskoslezský","Ústní zkouška",100,2,"93.5","52.4","17.1"
"Střední průmyslová škola chemická Brno. Vranovská. příspěvková organizace","Anglický jazyk","Lyceum","Jihomoravský","Ústní zkouška",53,1,"61.4","53.4","15.9"
"Střední průmyslová škola chemická Brno. Vranovská. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Jihomoravský","Ústní zkouška",53,1,"61.4","53.4","15.9"
"Střední průmyslová škola chemická Brno. Vranovská. příspěvková organizace","Anglický jazyk","SOŠ technické 2","Jihomoravský","Ústní zkouška",53,1,"61.4","53.4","15.9"
"Gymnázium. České Budějovice. Česká 64","Anglický jazyk","Gymnázium 8 leté","Jihočeský","Ústní zkouška",54,1,"69.5","54.4","21.7"
"Gymnázium. České Budějovice. Česká 64","Anglický jazyk","Gymnázium 4 leté","Jihočeský","Ústní zkouška",54,1,"69.5","54.4","21.7"
"Střední průmyslová škola Brno. Purkyňova. příspěvková organizace","Anglický jazyk","SOŠ hotelové a podnikatelské","Jihomoravský","Ústní zkouška",129,2,"67.2","50.8","16.8"
"Střední průmyslová škola Brno. Purkyňova. příspěvková organizace","Anglický jazyk","SOŠ pedagogické a humanitní","Jihomoravský","Ústní zkouška",129,2,"67.2","50.8","16.8"
"Střední průmyslová škola Brno. Purkyňova. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Jihomoravský","Ústní zkouška",129,2,"67.2","50.8","16.8"
"Střední průmyslová škola Brno. Purkyňova. příspěvková organizace","Anglický jazyk","SOŠ zemědělské","Jihomoravský","Ústní zkouška",129,2,"67.2","50.8","16.8"
"Střední průmyslová škola Brno. Purkyňova. příspěvková organizace","Anglický jazyk","SOU technické","Jihomoravský","Ústní zkouška",129,2,"67.2","50.8","16.8"
"Střední zdravotnická škola. Karviná. příspěvková organizace","Anglický jazyk","Lyceum","Moravskoslezský","Ústní zkouška",72,1,"87.2","52.3","15.7"
"Střední zdravotnická škola. Karviná. příspěvková organizace","Anglický jazyk","SOŠ zdravotnické","Moravskoslezský","Ústní zkouška",72,1,"87.2","52.3","15.7"
"Gymnázium. Praha 10. Voděradská 2","Anglický jazyk","Gymnázium 6 leté","Praha","Ústní zkouška",45,0,"40.7","51.3",20
"Lepařovo gymnázium. Jičín. Jiráskova 30","Anglický jazyk","Gymnázium 6 leté","Královéhradecký","Ústní zkouška",19,0,"31.7","58.8","14.4"
"Gymnázium. Praha 4. Budějovická 680","Anglický jazyk","Gymnázium 8 leté","Praha","Ústní zkouška",15,0,20,"56.4","15.3"
"Gymnázium. Praha 10. Voděradská 2","Anglický jazyk","Gymnázium 8 leté","Praha","Ústní zkouška",45,0,"40.7","51.3",20
"Gymnázium a Střední odborná škola pedagogická. Čáslav. Masarykova 248","Anglický jazyk","Gymnázium 8 leté","Středočeský","Ústní zkouška",71,0,"74.5",52,"16.9"
"Gymnázium Pierra de Coubertina. Tábor. Náměstí Františka Křižíka 860","Anglický jazyk","Gymnázium 8 leté","Jihočeský","Ústní zkouška",49,0,"53.8",55,"14.7"
"Gymnázium a obchodní akademie Mariánské Lázně","Anglický jazyk","Gymnázium 8 leté","Karlovarský","Ústní zkouška",45,0,"67.2","54.6","14.3"
"Gymnázium Globe. s.r.o.","Anglický jazyk","Gymnázium 8 leté","Jihomoravský","Ústní zkouška",3,0,100,"59.3","5.9"
"Soukromé gymnázium AD FONTES. o.p.s.. Fibichova 18. Jihlava","Anglický jazyk","Gymnázium 8 leté","Vysočina","Ústní zkouška",19,0,100,"56.4",13
"Gymnázium a Střední odborná škola pedagogická. Čáslav. Masarykova 248","Anglický jazyk","Lyceum","Středočeský","Ústní zkouška",71,0,"74.5",52,"16.9"
"Obchodní akademie a Vyšší odborná škola. Příbram I. Na Příkopech 104","Anglický jazyk","Lyceum","Středočeský","Ústní zkouška",25,0,75,"50.4","15.4"
"Obchodní akademie Karviná. s.r.o.","Anglický jazyk","Lyceum","Moravskoslezský","Ústní zkouška",9,0,"83.3",57,"17.9"
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická Žďár nad Sázavou","Anglický jazyk","Lyceum","Vysočina","Ústní zkouška",47,0,"97.9","54.9","12.3"
"Střední odborné učiliště stravování a služeb Karlovy Vary","Anglický jazyk","SOU ostatní (nástavby)","Karlovarský","Ústní zkouška",11,0,"48.5","52.5","17.7"
"Střední odborná škola technická a zahradnická. Lovosice. příspěvková organizace","Anglický jazyk","SOU ostatní (nástavby)","Ústecký","Ústní zkouška",7,0,50,"46.2","16.6"
"Střední odborná škola stavební a Střední odborné učiliště stavební. Kolín II. Pražská 112","Anglický jazyk","SOU ostatní (nástavby)","Středočeský","Ústní zkouška",21,0,"47.6","49.7","18.6"
"Integrovaná střední škola. Jesenice. Žatecká 1","Anglický jazyk","SOU ostatní (nástavby)","Středočeský","Ústní zkouška",3,0,50,52,"7.8"
"Střední odborná škola elektrotechnická. Centrum odborné přípravy. Hluboká nad Vltavou. Zvolenovská 537","Anglický jazyk","SOU technické (nástavby)","Jihočeský","Ústní zkouška",25,0,"38.7","55.6","14.5"
"Střední odborná škola a Střední odborné učiliště. Roudnice nad Labem. Neklanova 1806. příspěvková organizace","Anglický jazyk","SOU technické (nástavby)","Ústecký","Ústní zkouška",36,0,75,"55.5","15.2"
"Obchodní akademie Hovorčovická","Anglický jazyk","SOŠ ekonomické","Praha","Ústní zkouška",89,0,"84.6","55.5","14.1"
"Vyšší odborná škola. Střední průmyslová škola a Obchodní akademie. Čáslav. Přemysla Otakara II. 938","Anglický jazyk","SOŠ ekonomické","Středočeský","Ústní zkouška",27,0,"68.3","52.3","19.2"
"Obchodní akademie a Vyšší odborná škola. Příbram I. Na Příkopech 104","Anglický jazyk","SOŠ ekonomické","Středočeský","Ústní zkouška",25,0,75,"50.4","15.4"
"Gymnázium a obchodní akademie Mariánské Lázně","Anglický jazyk","SOŠ ekonomické","Karlovarský","Ústní zkouška",45,0,"67.2","54.6","14.3"
"Obchodní akademie. Vyšší odborná škola a Jazyková škola s právem státní jazykové zkoušky Uherské Hradiště","Anglický jazyk","SOŠ ekonomické","Zlínský","Ústní zkouška",91,0,"82.4","53.7","14.3"
"Obchodní akademie Karviná. s.r.o.","Anglický jazyk","SOŠ ekonomické","Moravskoslezský","Ústní zkouška",9,0,"83.3",57,"17.9"
"Obchodní akademie Hovorčovická","Anglický jazyk","SOŠ hotelové a podnikatelské","Praha","Ústní zkouška",89,0,"84.6","55.5","14.1"
"Vyšší odborná škola. Obchodní akademie. Střední odborná škola a Jazyková škola s právem státní jazykové zkoušky EKONOM. o.p.s.","Anglický jazyk","SOŠ hotelové a podnikatelské","Ústecký","Ústní zkouška",14,0,100,"48.2","19.8"
"Gymnázium a Střední odborná škola pedagogická. Čáslav. Masarykova 248","Anglický jazyk","SOŠ pedagogické a humanitní","Středočeský","Ústní zkouška",71,0,"74.5",52,"16.9"
"Střední odborná škola a Střední odborné učiliště. Roudnice nad Labem. Neklanova 1806. příspěvková organizace","Anglický jazyk","SOŠ pedagogické a humanitní","Ústecký","Ústní zkouška",36,0,75,"55.5","15.2"
"Masarykova střední škola chemická. Praha 1. Křemencova 12","Anglický jazyk","SOŠ technické 1","Praha","Ústní zkouška",62,0,"76.9","53.4","15.9"
"Vyšší odborná škola. Střední průmyslová škola a Obchodní akademie. Čáslav. Přemysla Otakara II. 938","Anglický jazyk","SOŠ technické 1","Středočeský","Ústní zkouška",27,0,"68.3","52.3","19.2"
"Vyšší odborná škola a Střední průmyslová škola. Jičín. Pod Koželuhy 100","Anglický jazyk","SOŠ technické 1","Královéhradecký","Ústní zkouška",40,0,60,"51.8","12.9"
"Obchodní akademie. Vyšší odborná škola a Jazyková škola s právem státní jazykové zkoušky Uherské Hradiště","Anglický jazyk","SOŠ technické 1","Zlínský","Ústní zkouška",91,0,"82.4","53.7","14.3"
"Vyšší odborná škola a Střední průmyslová škola. Šumperk. Gen. Krátkého 1","Anglický jazyk","SOŠ technické 1","Olomoucký","Ústní zkouška",97,0,"63.5","56.6","13.8"
"Střední odborná škola stavební a Střední odborné učiliště stavební. Kolín II. Pražská 112","Anglický jazyk","SOŠ technické 1","Středočeský","Ústní zkouška",21,0,"47.6","49.7","18.6"
"Střední odborná škola elektrotechnická. Centrum odborné přípravy. Hluboká nad Vltavou. Zvolenovská 537","Anglický jazyk","SOŠ technické 1","Jihočeský","Ústní zkouška",25,0,"38.7","55.6","14.5"
"Střední odborná škola a Střední odborné učiliště. Roudnice nad Labem. Neklanova 1806. příspěvková organizace","Anglický jazyk","SOŠ technické 1","Ústecký","Ústní zkouška",36,0,75,"55.5","15.2"
"Konzervatoř Duncan centre. Praha 4. Branická 41","Anglický jazyk","SOŠ umělecké","Praha","Ústní zkouška",5,0,100,"45.8","23.5"
